Percentile Local,Obs Percentile among CDAT Takers
53.45,86.21
12.50,93.75
68.75,87.50
68.97,79.31
23.08,81.32
40.91,77.27
89.01,95.60
96.55,89.66
98.28,100.00
37.50,100.00
37.93,82.76
65.52,79.31
93.10,91.38
25.86,91.38
79.31,100.00
100.00,100.00
25.86,81.03
87.93,72.41
75.86,89.66
94.83,96.55
91.89,78.38
81.03,93.10
69.23,74.73
54.35,76.09
72.97,83.78
73.91,95.65
63.79,74.14
77.59,86.21
94.83,72.41
63.64,100.00
32.76,98.28
81.08,89.19
21.74,93.48
94.59,86.49
74.14,87.93
23.91,80.43
96.70,94.51
43.24,97.30
100.00,63.64
100.00,94.59
72.53,92.31
45.45,72.73
56.52,91.30
46.15,96.70
80.43,82.61
68.13,75.82
84.62,90.11
44.83,77.59
52.75,79.12
85.71,89.01
65.22,78.26
82.76,84.48
15.38,80.22
93.10,93.10
38.46,83.52
60.44,85.71
18.97,81.03
76.09,84.78
97.30,81.08
100.00,68.18
100.00,89.66
95.60,86.81
100.00,76.92
62.07,94.83
23.08,98.90
100.00,100.00
48.28,75.86
68.13,97.80
60.44,87.91
93.10,96.55
59.09,90.91
96.55,82.76
38.46,82.42
81.82,81.82
81.03,75.86
13.79,82.76
84.48,98.28
32.97,93.41
5.17,94.83
34.48,93.10
53.45,98.28
29.31,75.86
5.17,94.83
68.13,78.02
83.78,75.68
63.04,89.13
86.96,86.96
72.73,86.36
78.02,100.00
89.66,72.41
20.69,87.93
72.97,72.97
75.86,96.55
77.59,70.69
73.91,73.91
55.17,74.14
78.02,91.21
18.18,59.09
72.41,86.21
72.41,84.48
89.19,100.00
50.00,95.45
36.21,70.69
75.86,79.31
97.80,84.62
95.65,97.83
39.66,91.38