ID,Rank,Wins,Comps,Probability,SEp,Logit,CDATpercentile,Set,DOB,Grade,Gender,Race,Hisp,Lunch,EL,ObsRank,ObsPercentile,CDAT_date,Age,Race_ethnicity,CDATGroup,ObsGroup
1912,2,49,54,0.907,0.039,2.282,96.55,11,12/30/11,4,M,W,Y,F,Y,1,98.3,1/25/22,10.07,H,1,1
6471,1,48,48,1,None ,None ,97.78,8,11/29/11,4,F,W,Y,F,Y,1,97.8,2/1/22,10.17,H,1,1
4236,1,39,40,0.975,0.025,3.663,97.3,10,8/15/12,4,F,W,Y,F,N,3,96.9,3/1/22,9.54,H,1,1
2339,1,32,33,0.97,0.03,3.465,96.55,6,9/15/11,4,F,W,Y,F,N,1,96.6,2/1/22,10.38,H,1,1
9953,3,41,50,0.82,0.054,1.516,93.33,8,5/8/12,4,F,W,Y,F,N,2,95.7,2/1/22,9.73,H,1,1
2909,3,40,54,0.741,0.06,1.05,94.83,11,2/27/12,4,F,W,Y,F,Y,3,94.8,1/25/22,9.91,H,1,1
7035,4,35,52,0.673,0.065,0.722,91.38,9,5/26/12,4,F,W,N,F,N,3,94.8,2/1/22,9.68,W,1,1
3744,3,33,41,0.805,0.062,1.417,91.89,10,9/23/11,4,F,W,Y,F,N,6,93.8,3/1/22,10.44,H,1,1
3844,4,50,67,0.746,0.053,1.079,95.6,7,11/2/11,4,M,W,N,X,N,6,93.4,2/2/22,10.25,W,1,1
5789,2,33,40,0.825,0.06,1.55,94.59,10,1/13/12,4,N,W,N,F,N,8,91.7,3/1/22,10.13,W,1,1
6240,1,24,28,0.857,0.066,1.792,90.91,12,3/15/12,4,M,X,N,F,N,8,91.7,1/28/22,9.87,X,1,1
4219,1,24,28,0.857,0.066,1.792,90.91,12,5/1/12,4,F,W,N,F,N,9,90.6,1/28/22,9.74,W,1,1
6273,1,43,51,0.843,0.051,1.682,98.28,9,2/6/11,4,M,W,Y,F,Y,7,87.9,2/1/22,10.99,H,1,0
1785,2,32,35,0.914,0.047,2.367,93.1,6,7/3/12,4,M,W,N,F,N,4,86.2,2/1/22,9.58,W,1,0
6275,5,47,65,0.723,0.056,0.96,94.51,7,4/5/12,4,F,W,N,X,N,13,85.7,2/7/22,9.84,W,1,0
9547,3,48,64,0.75,0.054,1.099,96.7,7,7/16/12,4,M,W,N,X,N,15,83.5,2/7/22,9.56,W,1,0
7223,5,40,55,0.727,0.06,0.981,91.38,11,3/29/12,4,F,W,Y,F,Y,11,81,1/25/22,9.82,H,1,0
6296,1,59,64,0.922,0.034,2.468,98.9,7,5/16/11,4,M,W,N,F,N,22,75.8,2/7/22,10.73,W,1,0
2676,4,39,53,0.736,0.061,1.024,93.1,11,5/15/12,4,M,W,Y,F,Y,17,70.7,1/25/22,9.69,H,1,0
3412,3,36,51,0.706,0.064,0.875,93.1,9,3/6/12,4,F,W,Y,F,Y,17,70.7,2/1/22,9.9,H,1,0
1707,1,52,53,0.981,0.019,3.95,98.28,11,6/23/11,4,M,W,Y,F,N,0,,1/25/22,10.59,H,1,0
2371,2,45,48,0.937,0.035,2.708,95.56,8,9/2/11,4,F,W,N,F,N,0,,2/1/22,10.41,W,1,0
2402,4,47,65,0.723,0.056,0.96,91.11,8,8/1/12,4,M,W,Y,F,N,0,,2/1/22,9.5,H,1,0
2528,7,44,66,0.667,0.058,0.693,91.21,7,6/30/12,4,F,W,N,X,N,0,,2/7/22,9.6,W,1,0
3369,1,21,21,1,None ,None ,93.75,4,2/16/12,4,F,N,N,X,Y,0,,2/8/22,9.98,N,1,0
5501,7,44,66,0.667,0.058,0.693,91.21,7,11/19/11,4,F,W,N,X,N,0,,2/17/22,10.24,W,1,0
8613,2,56,63,0.889,0.04,2.079,97.8,7,9/28/11,4,M,W,N,X,N,0,,2/17/22,10.39,W,1,0
8742,2,38,51,0.745,0.061,1.073,94.83,9,2/10/12,4,F,W,Y,F,N,0,,2/1/22,9.98,H,1,0
9670,6,44,65,0.677,0.058,0.74,93.41,7,1/12/12,4,M,X,Y,X,N,0,,2/7/22,10.07,X,1,0
3449,8,21,36,0.583,0.082,0.336,59.09,12,2/7/12,4,F,W,N,X,N,1,99,1/28/22,9.98,W,0,1
9389,5,36,54,0.667,0.064,0.693,86.49,10,1/6/12,4,M,N,N,F,N,1,99,3/1/22,10.15,N,0,1
8672,17,36,66,0.545,0.061,0.182,72.53,7,1/23/12,4,M,W,N,X,N,1,98.9,1/31/22,10.02,W,0,1
2228,10,32,56,0.571,0.066,0.288,77.59,9,12/14/11,4,F,W,Y,F,N,1,98.3,2/1/22,10.13,H,0,1
3959,20,32,69,0.464,0.06,-0.145,40.54,10,6/18/12,4,M,W,N,F,N,2,97.9,3/1/22,9.7,W,0,1
9413,11,21,43,0.488,0.076,-0.047,45.45,12,1/26/12,4,F,W,N,R,N,2,97.9,1/28/22,10.01,W,0,1
6397,39,29,66,0.439,0.061,-0.244,19.78,7,8/2/11,4,M,W,N,X,Y,2,97.8,1/31/22,10.5,W,0,1
7196,9,22,40,0.55,0.079,0.201,54.55,12,9/23/11,4,F,X,N,X,N,3,96.9,1/28/22,10.35,X,0,1
6734,20,35,66,0.53,0.061,0.121,62.64,7,9/16/12,4,F,W,N,X,N,3,96.7,2/2/22,9.38,W,0,1
3606,26,24,52,0.462,0.069,-0.154,25.86,9,1/8/12,4,F,W,Y,F,Y,2,96.6,2/1/22,10.06,H,0,1
7509,15,32,59,0.542,0.065,0.17,72.41,11,4/7/12,4,F,W,Y,F,Y,2,96.6,1/14/22,9.77,H,0,1
7674,21,26,52,0.5,0.069,0,50,9,9/28/11,4,F,W,Y,F,Y,2,96.6,2/1/22,10.34,H,0,1
8476,6,23,39,0.59,0.079,0.363,68.18,12,11/21/12,4,F,W,N,X,N,4,95.8,1/28/22,9.19,W,0,1
4668,29,32,66,0.485,0.062,-0.061,40.66,7,5/19/12,4,F,W,N,X,N,4,95.6,1/31/22,9.7,W,0,1
3610,8,37,59,0.627,0.063,0.52,78.38,10,5/29/12,4,F,W,Y,F,N,5,94.8,3/1/22,9.76,H,0,1
7353,4,20,31,0.645,0.086,0.598,77.27,12,11/21/12,4,F,W,N,X,N,5,94.8,1/28/22,9.19,W,0,1
1714,9,42,65,0.646,0.059,0.602,87.91,7,4/7/12,4,F,W,N,X,N,5,94.5,2/17/22,9.86,W,0,1
1598,13,16,38,0.421,0.08,-0.318,36.36,12,9/17/11,4,M,W,N,X,N,6,93.8,1/28/22,10.36,W,0,1
1995,11,12,33,0.364,0.084,-0.56,25,4,12/18/11,4,M,N,N,X,Y,1,93.8,2/8/22,10.14,N,0,1
3237,14,46,80,0.575,0.055,0.302,66.67,8,2/26/12,4,M,W,Y,F,Y,3,93.5,2/1/22,9.93,H,0,1
6316,18,28,54,0.519,0.068,0.074,56.9,9,3/3/12,4,M,W,Y,F,N,4,93.1,2/1/22,9.91,H,0,1
7643,38,12,52,0.231,0.058,-1.204,3.45,9,7/30/12,4,F,W,Y,F,Y,4,93.1,2/1/22,9.5,H,0,1
7840,46,3,53,0.057,0.032,-2.813,0,11,11/26/11,4,M,W,Y,F,N,4,93.1,1/14/22,10.13,H,0,1
8988,8,32,51,0.627,0.068,0.521,72.41,6,6/18/12,4,F,W,Y,F,Y,2,93.1,2/1/22,9.62,H,0,1
3096,11,35,61,0.574,0.063,0.297,64.86,10,4/10/12,4,M,W,Y,F,N,7,92.7,3/1/22,9.89,H,0,1
4571,12,18,41,0.439,0.078,-0.245,40.91,12,4/9/12,4,M,W,N,X,N,7,92.7,1/28/22,9.8,W,0,1
7591,36,30,66,0.455,0.061,-0.182,27.47,7,3/7/12,4,F,W,N,X,N,7,92.3,1/31/22,9.9,W,0,1
3010,19,33,63,0.524,0.063,0.095,62.07,11,11/26/11,4,M,W,Y,F,N,5,91.4,1/27/22,10.17,H,0,1
7659,25,25,54,0.463,0.068,-0.148,32.76,9,11/18/11,4,M,W,Y,F,N,5,91.4,2/1/22,10.2,H,0,1
3662,34,32,80,0.4,0.055,-0.405,20,8,9/2/11,4,F,W,Y,F,Y,4,91.3,2/1/22,10.41,H,0,1
4371,18,36,67,0.537,0.061,0.149,69.23,7,4/30/12,4,F,W,N,X,N,8,91.2,2/17/22,9.8,W,0,1
2919,4,34,43,0.791,0.062,1.329,89.19,10,10/22/11,4,F,B,N,F,N,9,90.6,3/1/22,10.36,B,0,1
9185,17,36,66,0.545,0.061,0.182,72.53,7,6/9/11,4,M,W,N,X,N,9,90.1,2/2/22,10.65,W,0,1
2158,6,37,55,0.673,0.063,0.72,89.66,11,12/28/11,4,F,W,Y,F,N,6,89.7,1/27/22,10.08,H,0,0
2170,27,24,53,0.453,0.068,-0.189,22.41,9,2/27/12,4,M,W,Y,F,N,6,89.7,2/1/22,9.93,H,0,0
5287,3,27,33,0.818,0.067,1.504,89.66,6,12/8/11,4,F,W,Y,F,Y,3,89.7,2/1/22,10.15,H,0,0
9379,24,24,51,0.471,0.07,-0.118,34.48,9,9/27/12,4,F,W,Y,F,Y,6,89.7,2/1/22,9.34,W,0,0
8088,7,32,49,0.653,0.068,0.632,81.08,10,5/13/12,4,M,W,Y,F,N,10,89.6,3/1/22,9.8,H,0,0
9201,18,9,28,0.321,0.088,-0.747,13.64,12,2/7/12,4,M,W,N,X,N,10,89.6,1/28/22,9.98,W,0,0
4649,19,46,89,0.517,0.053,0.067,55.56,8,7/7/12,4,F,W,Y,F,Y,5,89.1,2/1/22,9.57,H,0,0
4929,13,38,66,0.576,0.061,0.305,81.32,7,11/18/11,4,F,W,N,X,N,10,89,2/2/22,10.21,W,0,0
8850,11,39,68,0.574,0.06,0.296,64.86,10,9/28/11,4,M,B,N,F,N,11,88.5,3/1/22,10.43,B,0,0
2763,17,32,60,0.533,0.064,0.133,67.24,11,1/6/12,4,M,A,N,F,N,7,87.9,1/27/22,10.06,A,0,0
5154,12,40,68,0.588,0.06,0.357,84.62,7,5/25/12,4,F,W,N,F,N,11,87.9,2/7/22,9.7,W,0,0
1154,14,4,23,0.174,0.079,-1.558,6.25,4,4/15/12,4,F,W,N,X,N,2,87.5,2/8/22,9.81,W,0,0
8312,17,44,80,0.55,0.056,0.201,60,8,8/10/12,4,M,A,N,F,N,6,87,2/1/22,9.48,A,0,0
6965,23,34,66,0.515,0.062,0.061,53.85,7,6/6/12,4,F,W,N,X,N,12,86.8,1/31/22,9.65,W,0,0
3749,13,29,53,0.547,0.068,0.189,72.41,9,7/1/12,4,M,W,Y,F,Y,8,86.2,2/1/22,9.58,H,0,0
8778,34,27,60,0.45,0.064,-0.201,20.69,11,11/7/11,4,M,W,Y,F,Y,8,86.2,1/14/22,10.19,H,0,0
8438,9,51,81,0.63,0.054,0.531,77.78,8,10/13/11,4,F,W,Y,F,Y,7,84.8,2/1/22,10.3,H,0,0
5531,23,34,66,0.515,0.062,0.061,53.85,7,6/19/12,4,F,X,N,F,N,14,84.6,2/7/22,9.63,X,0,0
1013,21,26,52,0.5,0.069,0,50,9,4/5/12,4,F,W,Y,F,Y,9,84.5,2/1/22,9.82,H,0,0
3348,13,35,64,0.547,0.062,0.188,77.59,11,1/15/12,4,M,W,Y,F,N,9,84.5,1/14/22,10,H,0,0
5261,12,34,61,0.557,0.064,0.23,79.31,11,1/17/12,4,F,W,Y,F,Y,10,82.8,1/27/22,10.03,H,0,0
9229,9,33,58,0.569,0.065,0.278,68.97,6,7/24/12,4,F,P,Y,F,N,5,82.8,2/1/22,9.52,P,0,0
9252,14,28,52,0.538,0.069,0.154,67.24,9,12/5/11,4,F,W,Y,F,N,10,82.8,2/1/22,10.16,H,0,0
5749,11,44,73,0.603,0.057,0.417,73.33,8,3/18/12,4,F,W,Y,F,Y,8,82.6,2/1/22,9.87,H,0,0
5438,32,31,66,0.47,0.061,-0.121,36.26,7,6/8/12,4,M,X,N,F,N,16,82.4,2/7/22,9.66,X,0,0
7281,32,31,66,0.47,0.061,-0.121,36.26,7,8/22/11,4,M,W,N,X,N,17,81.3,2/2/22,10.44,W,0,0
1222,6,20,33,0.606,0.085,0.431,62.5,4,8/19/11,4,F,W,Y,X,N,3,81.3,2/8/22,10.47,H,0,0
7453,33,19,52,0.365,0.067,-0.552,12.07,9,4/6/12,4,M,W,Y,F,N,11,81,2/1/22,9.82,H,0,0
4809,10,51,82,0.622,0.054,0.498,75.56,8,11/14/11,4,M,W,Y,F,N,9,80.4,2/1/22,10.21,H,0,0
1335,39,29,66,0.439,0.061,-0.244,19.78,7,9/7/11,4,F,W,N,F,N,18,80.2,1/31/22,10.4,W,0,0
2050,19,23,53,0.434,0.068,-0.266,34.48,6,3/24/12,4,F,W,Y,F,Y,6,79.3,2/1/22,9.85,H,0,0
2587,27,24,53,0.453,0.068,-0.189,22.41,9,7/23/12,4,F,P,Y,F,Y,12,79.3,2/1/22,9.52,P,0,0
5631,26,30,62,0.484,0.063,-0.065,39.66,11,4/10/12,4,F,W,Y,F,Y,12,79.3,1/27/22,9.8,H,0,0
5284,43,27,66,0.409,0.061,-0.368,13.19,7,11/14/11,4,M,W,N,X,N,19,79.1,2/2/22,10.22,W,0,0
3784,31,32,77,0.416,0.056,-0.341,26.67,8,9/26/11,4,F,W,Y,F,N,10,78.3,2/1/22,10.35,H,0,0
5049,25,34,67,0.507,0.061,0.03,51.65,7,11/14/11,4,M,W,N,X,N,20,78,2/7/22,10.23,W,0,0
1286,25,29,59,0.492,0.065,-0.034,44.83,11,5/6/12,4,F,W,Y,F,Y,13,77.6,1/25/22,9.72,H,0,0
9453,12,28,51,0.549,0.07,0.197,74.14,9,3/18/12,4,M,W,Y,F,Y,13,77.6,2/1/22,9.87,H,0,0
7917,20,35,66,0.53,0.061,0.121,62.64,7,7/12/12,4,F,W,N,X,N,21,76.9,2/7/22,9.57,W,0,0
5216,16,49,88,0.557,0.053,0.228,62.22,8,8/22/12,4,F,W,Y,F,Y,11,76.1,2/1/22,9.44,H,0,0
2107,11,35,64,0.547,0.062,0.188,62.07,6,9/28/11,4,M,W,Y,F,Y,7,75.9,2/1/22,10.34,H,0,0
5014,26,31,64,0.484,0.062,-0.063,39.66,11,9/22/11,4,F,W,Y,F,Y,14,75.9,1/25/22,10.34,H,0,0
4817,20,35,66,0.53,0.061,0.121,62.64,7,6/8/12,4,M,X,N,F,N,23,74.7,2/2/22,9.65,X,0,0
7401,9,33,52,0.635,0.067,0.552,79.31,9,12/2/11,4,F,W,Y,F,Y,15,74.1,2/1/22,10.16,H,0,0
7781,29,28,59,0.475,0.065,-0.102,29.31,11,1/27/12,4,M,W,Y,F,Y,15,74.1,1/25/22,9.99,H,0,0
3074,22,45,90,0.5,0.053,0,48.89,8,7/9/12,4,M,W,Y,F,N,12,73.9,2/1/22,9.56,H,0,0
3055,19,37,69,0.536,0.06,0.145,68.13,7,1/20/12,4,F,W,N,X,N,24,73.6,2/7/22,10.05,W,0,0
3334,16,31,58,0.534,0.065,0.138,68.97,11,10/19/11,4,M,W,Y,F,N,16,72.4,1/14/22,10.24,H,0,0
6580,16,30,59,0.508,0.065,0.034,44.83,6,6/21/12,4,F,W,N,F,N,8,72.4,2/1/22,9.61,W,0,0
9110,20,27,53,0.509,0.069,0.038,53.45,9,7/23/11,4,M,W,Y,F,Y,16,72.4,2/1/22,10.52,H,0,0
9100,13,50,85,0.588,0.053,0.357,68.89,8,11/12/11,4,F,W,Y,F,Y,13,71.7,2/1/22,10.22,H,0,0
8772,4,34,48,0.708,0.066,0.887,86.21,6,12/19/11,4,F,W,Y,F,N,9,69,2/1/22,10.12,H,0,0
9023,11,29,52,0.558,0.069,0.232,75.86,9,7/13/12,4,M,W,N,F,N,18,69,2/1/22,9.55,W,0,0
9439,31,31,67,0.463,0.061,-0.15,25.86,11,6/25/12,4,F,W,Y,F,N,18,69,1/14/22,9.55,H,0,0
1005,24,32,64,0.5,0.062,0,46.55,11,4/6/11,4,M,W,Y,F,Y,0,,1/27/22,10.81,H,0,0
1042,18,30,62,0.484,0.063,-0.065,45.95,10,1/2/12,4,F,W,Y,F,N,0,,3/1/22,10.16,H,0,0
1052,15,37,70,0.529,0.06,0.114,54.05,10,8/29/12,4,F,W,Y,F,N,0,,3/1/22,9.51,H,0,0
1121,10,16,34,0.471,0.086,-0.118,37.5,4,3/17/12,4,F,N,N,X,Y,0,,2/8/22,9.89,N,0,0
1134,13,38,66,0.576,0.061,0.305,81.32,7,2/23/12,4,F,W,N,F,N,0,,2/2/22,9.94,W,0,0
1246,11,39,68,0.574,0.06,0.296,64.86,10,2/24/12,4,F,B,Y,F,Y,0,,3/1/22,10.02,B,0,0
1289,26,33,66,0.5,0.062,0,48.35,7,7/18/12,4,F,W,N,X,N,0,,1/31/22,9.54,W,0,0
1290,23,18,47,0.383,0.071,-0.477,20.69,6,12/4/11,4,M,W,N,F,N,0,,2/1/22,10.16,W,0,0
1360,14,36,66,0.545,0.061,0.182,75.86,11,10/29/11,4,F,W,Y,F,N,0,,1/25/22,10.24,H,0,0
1368,23,32,63,0.508,0.063,0.032,53.45,11,8/13/12,4,F,W,Y,F,Y,0,,1/27/22,9.46,H,0,0
1370,28,18,56,0.321,0.062,-0.747,18.92,10,12/9/11,4,M,W,N,F,N,0,,3/1/22,10.23,W,0,0
1408,42,18,54,0.333,0.064,-0.693,6.9,11,9/19/11,4,M,W,Y,F,Y,0,,1/25/22,10.35,H,0,0
1411,23,34,66,0.515,0.062,0.061,53.85,7,2/22/12,4,M,W,N,X,N,0,,2/17/22,9.99,W,0,0
1427,12,44,74,0.595,0.057,0.383,71.11,8,10/26/11,4,M,W,Y,F,Y,0,,2/1/22,10.26,H,0,0
1454,35,25,66,0.379,0.06,-0.495,17.78,8,5/14/12,4,M,W,Y,F,Y,0,,2/1/22,9.71,H,0,0
1489,29,29,61,0.475,0.064,-0.098,29.31,11,8/22/12,4,M,W,Y,F,Y,0,,1/25/22,9.43,H,0,0
1523,20,44,86,0.512,0.054,0.046,53.33,8,6/14/12,4,M,W,Y,F,Y,0,,2/1/22,9.63,H,0,0
1538,40,20,55,0.364,0.065,-0.56,10.34,11,9/12/11,4,M,W,Y,F,Y,0,,1/27/22,10.38,H,0,0
1619,39,29,66,0.439,0.061,-0.244,19.78,7,7/26/11,4,F,X,N,X,N,0,,2/17/22,10.56,X,0,0
1637,7,21,37,0.568,0.081,0.272,56.25,4,12/4/11,4,M,N,N,X,Y,0,,2/8/22,10.18,N,0,0
1657,52,12,64,0.187,0.049,-1.466,1.1,7,3/31/12,4,M,B,N,F,N,0,,1/31/22,9.83,B,0,0
1657,15,13,35,0.371,0.082,-0.526,27.27,7,3/31/12,4,M,B,N,F,N,0,,1/31/22,9.83,B,0,0
1700,49,19,65,0.292,0.056,-0.884,5.49,7,1/30/12,4,M,W,N,X,N,0,,1/31/22,10,W,0,0
1795,38,18,60,0.3,0.059,-0.847,11.11,8,7/17/12,4,M,W,Y,F,Y,0,,2/1/22,9.54,H,0,0
1896,24,32,64,0.5,0.062,0,46.55,11,6/13/12,4,M,W,Y,F,N,0,,1/14/22,9.59,H,0,0
1901,8,43,65,0.662,0.059,0.67,89.01,7,7/19/12,4,F,W,N,X,N,0,,2/2/22,9.54,W,0,0
1904,30,27,57,0.474,0.066,-0.105,27.59,11,12/18/11,4,M,W,Y,F,Y,0,,1/25/22,10.1,H,0,0
1946,32,20,51,0.392,0.068,-0.438,13.79,9,11/11/11,4,M,W,Y,F,Y,0,,2/1/22,10.22,H,0,0
2068,26,24,52,0.462,0.069,-0.154,25.86,9,11/19/10,4,M,W,Y,F,Y,0,,2/1/22,11.2,H,0,0
2120,27,31,65,0.477,0.062,-0.092,37.93,11,8/10/12,4,M,W,Y,F,Y,0,,1/14/22,9.43,H,0,0
2122,21,20,50,0.4,0.069,-0.405,27.59,6,12/14/11,4,F,W,Y,F,Y,0,,2/1/22,10.13,H,0,0
2146,25,27,67,0.403,0.06,-0.393,27.03,10,1/28/12,4,M,B,N,F,N,0,,3/1/22,10.09,B,0,0
2246,10,42,66,0.636,0.059,0.56,86.81,7,12/27/11,4,M,W,N,X,N,0,,2/2/22,10.1,W,0,0
2248,28,9,43,0.209,0.062,-1.329,3.45,6,11/24/10,4,M,P,N,F,N,0,,2/1/22,11.19,P,0,0
2346,37,12,51,0.235,0.059,-1.179,5.17,9,7/18/11,4,M,A,Y,F,Y,0,,2/1/22,10.54,A,0,0
2355,16,40,76,0.526,0.057,0.105,51.35,10,7/21/12,4,F,W,N,F,N,0,,3/1/22,9.61,W,0,0
2373,6,48,73,0.658,0.056,0.652,86.67,8,9/17/11,4,F,W,Y,F,Y,0,,2/1/22,10.37,H,0,0
2457,20,35,66,0.53,0.061,0.121,62.64,7,5/12/12,4,F,X,Y,X,N,0,,2/2/22,9.72,X,0,0
2485,39,20,54,0.37,0.066,-0.531,12.07,11,8/18/12,4,M,W,Y,F,Y,0,,1/25/22,9.44,H,0,0
2536,36,26,59,0.441,0.065,-0.238,17.24,11,5/13/12,4,M,W,Y,F,Y,0,,1/27/22,9.71,H,0,0
2658,29,33,68,0.485,0.061,-0.059,40.66,7,1/6/12,4,M,W,N,X,N,0,,2/7/22,10.09,W,0,0
2694,8,34,53,0.641,0.066,0.582,81.03,9,11/30/11,4,M,W,Y,F,Y,0,,2/1/22,10.17,H,0,0
2720,17,36,66,0.545,0.061,0.182,72.53,7,12/28/11,4,F,W,N,X,N,0,,2/7/22,10.11,W,0,0
2733,52,12,64,0.187,0.049,-1.466,1.1,7,1/10/12,4,M,W,N,F,N,0,,2/17/22,10.1,W,0,0
2736,33,32,69,0.464,0.06,-0.145,35.16,7,3/19/12,4,M,W,N,X,N,0,,2/17/22,9.91,W,0,0
2739,17,36,66,0.545,0.061,0.182,72.53,7,4/25/12,4,F,W,N,X,N,0,,2/17/22,9.81,W,0,0
2771,23,34,66,0.515,0.062,0.061,53.85,7,10/25/11,4,F,W,N,X,N,0,,2/17/22,10.31,W,0,0
2885,26,33,66,0.5,0.062,0,48.35,7,6/30/12,4,F,X,Y,X,N,0,,2/7/22,9.6,X,0,0
2915,29,32,66,0.485,0.062,-0.061,40.66,7,3/13/12,4,M,W,N,R,N,0,,1/31/22,9.88,W,0,0
2944,7,33,51,0.647,0.067,0.606,84.48,9,8/11/11,4,F,W,Y,F,Y,0,,2/1/22,10.47,H,0,0
2947,45,26,67,0.388,0.06,-0.455,10.99,7,7/25/12,4,M,W,N,X,N,0,,2/17/22,9.56,W,0,0
2993,28,30,63,0.476,0.063,-0.095,34.48,11,8/21/12,4,M,W,Y,F,N,0,,1/27/22,9.43,H,0,0
3005,24,44,91,0.484,0.052,-0.066,44.44,8,9/21/11,4,M,W,Y,F,Y,0,,2/1/22,10.36,H,0,0
3059,19,26,51,0.51,0.07,0.039,55.17,9,8/20/12,4,M,W,Y,F,Y,0,,2/1/22,9.45,H,0,0
3061,26,38,86,0.442,0.054,-0.234,40,8,12/23/11,4,F,W,Y,F,N,0,,2/1/22,10.11,H,0,0
