Set,Person ID Code,Rank,Wins,Comps,Logit,Low 95% CI,Score,High 95% CI,Percentile CDAT,DOB,Grade,Gender,Race,Hispanic,Lunch,EL,Ranking Observation,Obs Rank,Percentile Obs,Date CDAT Completed,Age,Race/Ethnicity,Stanine Obs,Stanine CDAT,Recognition
11,1005,24,24,49,-0.041,62,67.6,73.2,51.72,4/6/11,4,M,W,Y,F,Y,,,,1/27/22,10.81,H,NA,N,0
9,1013,21,26,52,0,62.6,68,73.4,53.45,4/5/12,4,F,W,Y,F,Y,9,9,86.21,2/1/22,9.82,H,7,N,7
10,1042,18,30,62,-0.065,62.4,67.4,72.3,48.65,1/2/12,4,F,W,Y,F,N,,,,3/1/22,10.16,H,NA,N,0
10,1052,15,37,70,0.114,64.4,69.1,73.8,56.76,8/29/12,4,F,W,Y,F,N,,,,3/1/22,9.51,H,NA,N,0
4,1121,10,16,34,-0.118,60.1,66.8,73.6,43.75,3/17/12,4,F,N,N,X,Y,,,,2/8/22,9.89,N,NA,N,0
7,1134,13,38,66,0.305,66.2,71,75.9,84.62,2/23/12,4,F,W,N,F,N,,,,2/2/22,9.94,W,NA,7,7
4,1154,14,4,23,-1.558,41.6,52.4,63.2,12.5,4/15/12,4,F,W,N,X,N,5,2,93.75,2/8/22,9.81,W,8,N,8
4,1222,6,20,33,0.431,65.3,72.3,79.3,68.75,8/19/11,4,F,W,Y,X,N,6,3,87.5,2/8/22,10.47,H,7,N,7
10,1246,11,39,68,0.296,66.2,71,75.8,72.97,2/24/12,4,F,B,Y,F,Y,,,,3/1/22,10.02,B,NA,N,0
11,1286,18,24,44,0.182,63.9,69.8,75.8,68.97,5/6/12,4,F,W,Y,F,Y,15,13,79.31,1/25/22,9.72,H,7,N,7
7,1289,26,33,66,0,63.2,68,72.8,51.65,7/18/12,4,F,W,N,X,N,,,,1/31/22,9.54,W,NA,N,0
6,1290,23,18,47,-0.477,57.3,63.2,69.1,24.14,12/4/11,4,M,W,N,F,N,,,,2/1/22,10.16,W,NA,N,0
7,1335,39,29,66,-0.244,60.7,65.6,70.4,23.08,9/7/11,4,F,W,N,F,N,28,18,81.32,1/31/22,10.4,W,7,N,7
11,1360,17,27,49,0.205,64.4,70,75.7,72.41,10/29/11,4,F,W,Y,F,N,,,,1/25/22,10.24,H,NA,N,0
11,1368,23,25,50,0,62.5,68,73.5,55.17,8/13/12,4,F,W,Y,F,Y,,,,1/27/22,9.46,H,NA,N,0
10,1370,28,18,56,-0.747,54.9,60.5,66.1,21.62,12/9/11,4,M,W,N,F,N,,,,3/1/22,10.23,W,NA,N,0
11,1408,45,11,40,-0.969,51.4,58.3,65.3,10.34,9/19/11,4,M,W,Y,F,Y,,,,1/25/22,10.35,H,NA,N,0
7,1411,23,34,66,0.061,63.8,68.6,73.4,60.44,2/22/12,4,M,W,N,X,N,,,,2/17/22,9.99,W,NA,N,0
8,1427,14,44,75,0.35,66.9,71.5,76.1,69.57,10/26/11,4,M,W,Y,F,Y,,,,2/1/22,10.26,H,NA,N,0
8,1454,35,27,73,-0.533,57.9,62.7,67.4,19.57,5/14/12,4,M,W,Y,F,Y,,,,2/1/22,9.71,H,NA,N,0
11,1489,27,23,48,-0.083,61.5,67.2,72.8,43.1,8/22/12,4,M,W,Y,F,Y,,,,1/25/22,9.43,H,NA,N,0
8,1523,18,47,90,0.089,64.8,68.9,73,60.87,6/14/12,4,M,W,Y,F,Y,,,,2/1/22,9.63,H,NA,N,0
11,1538,39,18,42,-0.288,59,65.1,71.2,22.41,9/12/11,4,M,W,Y,F,Y,,,,1/27/22,10.38,H,NA,N,0
12,1598,13,16,38,-0.318,58.4,64.8,71.3,40.91,9/17/11,4,M,W,N,X,N,6,6,77.27,1/28/22,10.36,W,7,N,7
7,1619,39,29,66,-0.244,60.7,65.6,70.4,23.08,7/26/11,4,F,X,N,X,N,,,,2/17/22,10.56,X,NA,N,0
4,1637,7,21,37,0.272,64.2,70.7,77.2,62.5,12/4/11,4,M,N,N,X,Y,,,,2/8/22,10.18,N,NA,N,0
7,1657,52,12,64,-1.466,47.1,53.3,59.6,3.3,3/31/12,4,M,B,N,F,N,,,,1/31/22,9.83,B,NA,N,0
12,1657,15,13,35,-0.526,55.9,62.7,69.6,31.82,3/31/12,4,M,B,N,F,N,,,,1/31/22,9.83,B,NA,N,0
7,1700,49,19,65,-0.884,53.8,59.2,64.5,6.59,1/30/12,4,M,W,N,X,N,,,,1/31/22,10,W,NA,N,0
11,1707,1,40,41,3.688,85,104.9,124.7,100,6/23/11,4,M,W,Y,F,N,,,,1/25/22,10.59,H,NA,9,9
7,1714,9,42,65,0.602,68.9,74,79.1,89.01,4/7/12,4,F,W,N,X,N,5,5,95.6,2/17/22,9.86,W,8,7,15
6,1785,2,32,35,2.367,79.8,91.7,103.5,96.55,7/3/12,4,M,W,N,F,N,4,4,89.66,2/1/22,9.58,W,7,9,16
8,1795,38,18,61,-0.871,53.8,59.3,64.8,13.04,7/17/12,4,M,W,Y,F,Y,,,,2/1/22,9.54,H,NA,N,0
11,1896,19,27,51,0.118,63.7,69.2,74.7,67.24,6/13/12,4,M,W,Y,F,N,,,,1/14/22,9.59,H,NA,N,0
7,1901,8,43,65,0.67,69.6,74.7,79.8,91.21,7/19/12,4,F,W,N,X,N,,,,2/2/22,9.54,W,NA,8,8
11,1904,30,20,43,-0.14,60.6,66.6,72.6,37.93,12/18/11,4,M,W,Y,F,Y,,,,1/25/22,10.1,H,NA,N,0
11,1912,2,37,39,2.917,82.9,97.2,111.4,98.28,12/30/11,4,M,W,Y,F,Y,1,1,100,1/25/22,10.07,H,9,9,18
9,1946,32,20,51,-0.438,58,63.6,69.2,15.52,11/11/11,4,M,W,Y,F,Y,,,,2/1/22,10.22,H,NA,N,0
4,1995,11,12,33,-0.56,55.3,62.4,69.5,37.5,12/18/11,4,M,N,N,X,Y,1,1,100,2/8/22,10.14,N,9,N,9
6,2050,19,23,53,-0.266,59.9,65.3,70.8,37.93,3/24/12,4,F,W,Y,F,Y,7,6,82.76,2/1/22,9.85,H,7,N,7
9,2068,26,24,52,-0.154,61,66.5,71.9,32.76,11/19/10,4,M,W,Y,F,Y,,,,2/1/22,11.2,H,NA,N,0
6,2107,11,35,64,0.188,65,69.9,74.8,65.52,9/28/11,4,M,W,Y,F,Y,8,7,79.31,2/1/22,10.34,H,7,N,7
11,2120,22,26,51,0.039,62.9,68.4,73.9,58.62,8/10/12,4,M,W,Y,F,Y,,,,1/14/22,9.43,H,NA,N,0
6,2122,21,20,50,-0.405,58.3,63.9,69.6,31.03,12/14/11,4,F,W,Y,F,Y,,,,2/1/22,10.13,H,NA,N,0
10,2146,25,27,67,-0.393,59.2,64.1,69,29.73,1/28/12,4,M,B,N,F,N,,,,3/1/22,10.09,B,NA,N,0
11,2158,5,29,42,0.802,69.5,76,82.6,93.1,12/28/11,4,F,W,Y,F,N,6,6,91.38,1/27/22,10.08,H,8,8,16
9,2170,27,24,53,-0.189,60.7,66.1,71.5,25.86,2/27/12,4,M,W,Y,F,N,6,6,91.38,2/1/22,9.93,H,8,N,8
9,2228,10,32,56,0.288,65.6,70.9,76.2,79.31,12/14/11,4,F,W,Y,F,N,1,1,100,2/1/22,10.13,H,9,7,16
7,2246,10,42,66,0.56,68.6,73.6,78.6,87.91,12/27/11,4,M,W,N,X,N,,,,2/2/22,10.1,W,NA,7,7
6,2248,28,9,43,-1.329,47.4,54.7,62.1,6.9,11/24/10,4,M,P,N,F,N,,,,2/1/22,11.19,P,NA,N,0
6,2339,1,32,33,3.465,82.8,102.6,122.5,100,9/15/11,4,F,W,Y,F,N,1,1,100,2/1/22,10.38,H,9,9,18
9,2346,37,12,51,-1.179,49.7,56.2,62.7,6.9,7/18/11,4,M,A,Y,F,Y,,,,2/1/22,10.54,A,NA,N,0
10,2355,16,40,76,0.105,64.5,69,73.6,54.05,7/21/12,4,F,W,N,F,N,,,,3/1/22,9.61,W,NA,N,0
8,2371,2,45,48,2.708,83.4,95.1,106.8,97.83,9/2/11,4,F,W,N,F,N,,,,2/1/22,10.41,W,NA,9,9
8,2373,9,50,78,0.58,69.2,73.8,78.4,82.61,9/17/11,4,F,W,Y,F,Y,,,,2/1/22,10.37,H,NA,7,7
8,2402,4,48,66,0.981,72.4,77.8,83.2,93.48,8/1/12,4,M,W,Y,F,N,,,,2/1/22,9.5,H,NA,8,8
7,2457,20,35,66,0.121,64.4,69.2,74,68.13,5/12/12,4,F,X,Y,X,N,,,,2/2/22,9.72,X,NA,N,0
11,2485,44,14,41,-0.657,55,61.4,67.9,13.79,8/18/12,4,M,W,Y,F,Y,,,,1/25/22,9.44,H,NA,N,0
7,2528,7,44,66,0.693,69.8,74.9,80,93.41,6/30/12,4,F,W,N,X,N,,,,2/7/22,9.6,W,NA,8,8
11,2536,29,21,45,-0.134,60.8,66.7,72.5,39.66,5/13/12,4,M,W,Y,F,Y,,,,1/27/22,9.71,H,NA,N,0
9,2587,27,24,53,-0.189,60.7,66.1,71.5,25.86,7/23/12,4,F,P,Y,F,Y,12,12,81.03,2/1/22,9.52,P,7,N,7
7,2658,29,33,68,-0.059,62.7,67.4,72.2,46.15,1/6/12,4,M,W,N,X,N,,,,2/7/22,10.09,W,NA,N,0
11,2676,8,27,41,0.657,68.1,74.6,81,87.93,5/15/12,4,M,W,Y,F,Y,19,17,72.41,1/25/22,9.69,H,NA,7,7
9,2694,8,34,53,0.582,68.2,73.8,79.4,84.48,11/30/11,4,M,W,Y,F,Y,,,,2/1/22,10.17,H,NA,7,7
7,2720,17,36,66,0.182,65,69.8,74.7,78.02,12/28/11,4,F,W,N,X,N,,,,2/7/22,10.11,W,NA,7,7
7,2733,52,12,64,-1.466,47.1,53.3,59.6,3.3,1/10/12,4,M,W,N,F,N,,,,2/17/22,10.1,W,NA,N,0
7,2736,33,32,69,-0.145,61.8,66.6,71.3,36.26,3/19/12,4,M,W,N,X,N,,,,2/17/22,9.91,W,NA,N,0
7,2739,17,36,66,0.182,65,69.8,74.7,78.02,4/25/12,4,F,W,N,X,N,,,,2/17/22,9.81,W,NA,7,7
11,2763,15,27,47,0.3,65.2,71,76.8,75.86,1/6/12,4,M,A,N,F,N,8,7,89.66,1/27/22,10.06,A,7,N,7
7,2771,23,34,66,0.061,63.8,68.6,73.4,60.44,10/25/11,4,F,W,N,X,N,,,,2/17/22,10.31,W,NA,N,0
7,2885,26,33,66,0,63.2,68,72.8,51.65,6/30/12,4,F,X,Y,X,N,,,,2/7/22,9.6,X,NA,N,0
11,2909,4,30,41,1.003,71.1,78,84.9,94.83,2/27/12,4,F,W,Y,F,Y,3,3,96.55,1/25/22,9.91,H,9,8,17
7,2915,29,32,66,-0.061,62.6,67.4,72.2,46.15,3/13/12,4,M,W,N,R,N,,,,1/31/22,9.88,W,NA,N,0
10,2919,4,34,43,1.329,73.9,81.3,88.6,91.89,10/22/11,4,F,B,N,F,N,9,9,78.38,3/1/22,10.36,B,7,8,15
9,2944,7,33,51,0.606,68.3,74.1,79.8,86.21,8/11/11,4,F,W,Y,F,Y,,,,2/1/22,10.47,H,NA,7,7
7,2947,45,26,67,-0.455,58.5,63.4,68.4,12.09,7/25/12,4,M,W,N,X,N,,,,2/17/22,9.56,W,NA,N,0
11,2993,32,22,48,-0.167,60.7,66.3,72,34.48,8/21/12,4,M,W,Y,F,N,,,,1/27/22,9.43,H,NA,N,0
8,3005,23,47,96,-0.042,63.6,67.6,71.6,47.83,9/21/11,4,M,W,Y,F,Y,,,,2/1/22,10.36,H,NA,N,0
11,3010,12,29,49,0.372,66,71.7,77.4,81.03,11/26/11,4,M,W,Y,F,N,5,5,93.1,1/27/22,10.17,H,8,7,15
7,3055,19,37,69,0.145,64.7,69.4,74.2,69.23,1/20/12,4,F,W,N,X,N,34,24,74.73,2/7/22,10.05,W,NA,N,0
9,3059,19,26,51,0.039,62.9,68.4,73.9,56.9,8/20/12,4,M,W,Y,F,Y,,,,2/1/22,9.45,H,NA,N,0
8,3061,27,38,87,-0.254,61.2,65.5,69.7,39.13,12/23/11,4,F,W,Y,F,N,,,,2/1/22,10.11,H,NA,N,0
7,3073,28,32,65,-0.031,62.8,67.7,72.6,47.25,11/11/11,4,M,X,Y,X,N,,,,2/2/22,10.23,X,NA,N,0
8,3074,20,48,94,0.043,64.4,68.4,72.5,54.35,7/9/12,4,M,W,Y,F,N,14,12,76.09,2/1/22,9.56,H,NA,N,0
6,3082,27,14,48,-0.887,52.9,59.1,65.4,10.34,1/11/12,4,F,W,Y,F,N,,,,2/1/22,10.06,H,NA,N,0
10,3096,11,35,61,0.297,65.9,71,76,72.97,4/10/12,4,M,W,Y,F,N,7,7,83.78,3/1/22,9.89,H,7,N,7
6,3202,7,33,52,0.552,67.9,73.5,79.2,79.31,7/7/12,4,F,N,N,F,N,,,,2/1/22,9.57,N,NA,7,7
8,3237,13,50,85,0.357,67.3,71.6,75.9,73.91,2/26/12,4,M,W,Y,F,Y,3,3,95.65,2/1/22,9.93,H,8,N,8
11,3260,46,10,40,-1.099,49.9,57,64.2,8.62,9/8/11,4,M,W,Y,F,Y,,,,1/27/22,10.39,H,NA,N,0
10,3302,33,15,51,-0.875,53.2,59.2,65.3,8.11,12/24/11,4,M,W,Y,F,N,,,,3/1/22,10.19,H,NA,N,0
10,3304,23,30,69,-0.262,60.6,65.4,70.1,35.14,12/20/11,4,M,W,Y,F,N,,,,3/1/22,10.2,H,NA,N,0
11,3334,21,23,45,0.044,62.6,68.4,74.3,63.79,10/19/11,4,M,W,Y,F,N,18,16,74.14,1/14/22,10.24,H,NA,N,0
11,3348,14,30,52,0.31,65.6,71.1,76.6,77.59,1/15/12,4,M,W,Y,F,N,10,9,86.21,1/14/22,10,H,7,7,14
4,3369,1,21,21,None,None,None,None,100,2/16/12,4,F,N,N,X,Y,,,,2/8/22,9.98,N,NA,9,9
8,3390,5,45,65,0.811,70.8,76.1,81.4,91.3,12/24/11,4,M,W,Y,F,Y,,,,2/1/22,10.1,H,NA,8,8
8,3394,32,37,90,-0.359,60.2,64.4,68.6,26.09,6/27/12,4,F,W,Y,F,Y,,,,2/1/22,9.59,H,NA,N,0
9,3412,3,36,51,0.875,70.7,76.8,82.8,94.83,3/6/12,4,F,W,Y,F,Y,17,17,72.41,2/1/22,9.9,H,NA,8,8
12,3449,8,21,36,0.336,64.7,71.4,78,63.64,2/7/12,4,F,W,N,X,N,1,1,100,1/28/22,9.98,W,9,N,9
7,3467,15,38,68,0.236,65.6,70.4,75.1,80.22,2/6/12,4,F,W,N,X,N,,,,2/2/22,9.99,W,NA,7,7
9,3526,17,28,53,0.113,63.7,69.1,74.5,63.79,6/9/12,4,F,N,Y,F,N,,,,2/1/22,9.64,N,NA,N,0
6,3569,17,29,63,-0.159,61.5,66.4,71.4,44.83,12/6/11,4,F,W,Y,F,N,,,,2/1/22,10.15,H,NA,N,0
10,3570,27,21,55,-0.482,57.7,63.2,68.6,24.32,11/10/11,4,M,W,Y,F,N,,,,3/1/22,10.31,H,NA,N,0
9,3605,31,21,51,-0.357,58.9,64.4,70,17.24,9/13/11,4,M,W,Y,F,N,,,,2/1/22,10.38,H,NA,N,0
9,3606,26,24,52,-0.154,61,66.5,71.9,32.76,1/8/12,4,F,W,Y,F,Y,2,2,98.28,2/1/22,10.06,H,9,N,9
10,3610,8,37,59,0.52,67.9,73.2,78.5,81.08,5/29/12,4,F,W,Y,F,N,5,5,89.19,3/1/22,9.76,H,7,7,14
7,3611,53,7,63,-2.079,39.4,47.2,55.1,1.1,9/10/11,4,M,W,N,R,N,,,,2/17/22,10.44,W,NA,N,0
7,3615,36,30,66,-0.182,61.3,66.2,71,32.97,8/26/11,4,F,W,N,X,N,,,,1/31/22,10.43,W,NA,N,0
9,3638,16,27,51,0.118,63.7,69.2,74.7,65.52,12/23/11,4,M,W,Y,F,Y,,,,2/1/22,10.11,H,NA,N,0
9,3647,22,25,52,-0.077,61.8,67.2,72.7,50,12/21/11,4,M,W,Y,F,N,,,,2/1/22,10.11,H,NA,N,0
8,3662,34,32,80,-0.405,59.5,63.9,68.4,21.74,9/2/11,4,F,W,Y,F,Y,4,4,93.48,2/1/22,10.41,H,8,N,8
9,3743,5,34,51,0.693,69.1,74.9,80.8,91.38,4/12/12,4,M,W,Y,F,Y,,,,2/1/22,9.8,H,NA,8,8
10,3744,3,33,41,1.417,74.4,82.2,89.9,94.59,9/23/11,4,F,W,Y,F,N,6,6,86.49,3/1/22,10.44,H,7,8,15
9,3749,13,29,53,0.189,64.5,69.9,75.3,74.14,7/1/12,4,M,W,Y,F,Y,8,8,87.93,2/1/22,9.58,H,7,N,7
8,3784,33,33,81,-0.375,59.8,64.2,68.7,23.91,9/26/11,4,F,W,Y,F,N,12,10,80.43,2/1/22,10.35,H,7,N,7
10,3807,21,30,66,-0.182,61.3,66.2,71,40.54,8/22/11,4,M,W,Y,F,N,,,,3/1/22,10.53,H,NA,N,0
10,3842,24,29,71,-0.37,59.6,64.3,69,32.43,7/19/12,4,F,W,Y,F,N,,,,3/1/22,9.62,H,NA,N,0
7,3844,4,50,67,1.079,73.3,78.8,84.3,96.7,11/2/11,4,M,W,N,X,N,6,6,94.51,2/2/22,10.25,W,8,9,17
11,3853,13,28,48,0.336,65.6,71.4,77.1,79.31,6/8/12,4,F,W,Y,F,Y,,,,1/14/22,9.6,H,NA,7,7
8,3869,24,45,97,-0.145,62.6,66.6,70.5,45.65,12/13/11,4,M,W,Y,F,Y,,,,2/1/22,10.13,H,NA,N,0
10,3890,19,35,73,-0.082,62.6,67.2,71.8,45.95,12/9/11,4,F,W,N,F,N,,,,3/1/22,10.23,W,NA,N,0
11,3897,17,27,49,0.205,64.4,70,75.7,72.41,8/25/12,4,M,W,Y,F,Y,,,,1/27/22,9.42,H,NA,N,0
7,3936,29,32,66,-0.061,62.6,67.4,72.2,46.15,12/18/11,4,F,W,N,F,N,,,,2/2/22,10.12,W,NA,N,0
10,3959,20,32,69,-0.145,61.8,66.6,71.3,43.24,6/18/12,4,M,W,N,F,N,2,2,97.3,3/1/22,9.7,W,9,N,9
4,4004,4,18,29,0.492,65.4,72.9,80.4,81.25,4/19/12,4,F,W,N,X,N,,,,2/8/22,9.8,W,NA,7,7
7,4072,26,33,66,0,63.2,68,72.8,51.65,2/5/12,4,M,W,N,X,N,,,,1/31/22,9.99,W,NA,N,0
7,4073,38,30,67,-0.21,61.1,65.9,70.7,26.37,8/11/11,4,M,W,N,F,N,,,,2/17/22,10.52,W,NA,N,0
11,4105,44,14,41,-0.657,55,61.4,67.9,13.79,7/6/12,4,M,N,Y,F,N,,,,1/14/22,9.52,N,NA,N,0
7,4140,17,36,66,0.182,65,69.8,74.7,78.02,8/31/12,4,F,W,N,X,N,,,,2/17/22,9.46,W,NA,7,7
10,4144,35,3,39,-2.485,31.4,43.2,54.9,2.7,4/9/12,4,M,W,Y,F,N,,,,3/1/22,9.89,H,NA,N,0
11,4145,49,6,40,-1.735,42,50.6,59.3,3.45,5/16/12,4,M,W,Y,F,Y,,,,1/14/22,9.66,H,NA,N,0
9,4191,5,36,54,0.693,69.3,74.9,80.6,91.38,1/16/12,4,M,W,Y,F,N,,,,2/1/22,10.04,H,NA,8,8
11,4205,42,20,50,-0.405,58.3,63.9,69.6,17.24,12/29/11,4,F,W,Y,F,Y,,,,1/14/22,10.04,H,NA,N,0
4,4209,12,11,31,-0.598,54.7,62,69.4,25,9/22/10,4,F,W,N,X,Y,,,,2/8/22,11.38,W,NA,N,0
12,4219,1,24,28,1.792,75.3,85.9,96.5,100,5/1/12,4,F,W,N,F,N,9,9,63.64,1/28/22,9.74,W,NA,9,9
10,4236,1,39,40,3.663,84.8,104.6,124.5,100,8/15/12,4,F,W,Y,F,N,3,3,94.59,3/1/22,9.54,H,8,9,17
8,4257,26,42,95,-0.233,61.6,65.7,69.7,41.3,8/17/12,4,F,W,Y,F,Y,,,,2/1/22,9.46,H,NA,N,0
4,4268,5,19,31,0.459,65.4,72.6,79.8,75,12/24/11,4,M,N,N,X,N,,,,2/8/22,10.12,N,NA,N,0
8,4300,11,51,81,0.531,68.8,73.3,77.8,78.26,9/21/11,4,F,W,Y,F,N,,,,2/1/22,10.36,H,NA,7,7
10,4326,14,36,65,0.216,65.3,70.2,75.1,59.46,6/18/12,4,F,W,N,F,N,,,,3/1/22,9.7,W,NA,N,0
7,4371,18,36,67,0.149,64.7,69.5,74.3,72.53,4/30/12,4,F,W,N,X,N,8,8,92.31,2/17/22,9.8,W,8,N,8
9,4375,35,17,51,-0.693,55.2,61.1,66.9,10.34,5/2/11,4,M,N,N,F,Y,,,,2/1/22,10.75,N,NA,N,0
7,4408,44,28,69,-0.381,59.4,64.2,69,13.19,3/20/12,4,M,W,N,X,N,,,,1/31/22,9.86,W,NA,N,0
8,4420,43,0,50,None,None,None,None,2.17,7/15/12,4,F,W,Y,F,Y,,,,2/1/22,9.54,H,NA,N,0
10,4463,17,38,78,-0.051,63.1,67.5,71.9,51.35,5/30/12,4,M,W,Y,F,N,,,,3/1/22,9.75,H,NA,N,0
11,4489,24,24,49,-0.041,62,67.6,73.2,51.72,9/18/11,4,M,W,Y,F,Y,,,,1/14/22,10.32,H,NA,N,0
12,4508,16,14,38,-0.539,56,62.6,69.2,27.27,3/27/12,4,F,X,Y,X,N,,,,1/28/22,9.84,X,NA,N,0
12,4571,12,18,41,-0.245,59.4,65.6,71.7,45.45,4/9/12,4,M,W,N,X,N,7,7,72.73,1/28/22,9.8,W,NA,N,0
7,4586,24,33,65,0.031,63.4,68.3,73.2,53.85,3/8/12,4,F,W,N,F,Y,,,,1/31/22,9.9,W,NA,N,0
8,4649,19,47,91,0.066,64.5,68.7,72.8,56.52,7/7/12,4,F,W,Y,F,Y,5,5,91.3,2/1/22,9.57,H,8,N,8
12,4660,2,23,29,1.344,72.5,81.4,90.4,90.91,4/21/12,4,F,X,N,X,N,,,,1/28/22,9.77,X,NA,8,8
7,4668,29,32,66,-0.061,62.6,67.4,72.2,46.15,5/19/12,4,F,W,N,X,N,4,4,96.7,1/31/22,9.7,W,9,N,9
8,4707,40,15,62,-1.142,50.8,56.6,62.4,8.7,12/2/11,4,M,W,Y,F,N,,,,2/1/22,10.16,H,NA,N,0
7,4733,29,32,66,-0.061,62.6,67.4,72.2,46.15,9/20/11,4,F,B,N,X,N,,,,2/2/22,10.37,B,NA,N,0
9,4751,30,22,51,-0.276,59.7,65.2,70.8,18.97,1/16/12,4,M,W,Y,F,N,,,,2/1/22,10.04,H,NA,N,0
10,4791,6,33,50,0.663,68.8,74.6,80.5,86.49,12/8/11,4,F,W,N,F,N,,,,3/1/22,10.23,W,NA,7,7
8,4809,10,53,84,0.536,68.9,73.4,77.8,80.43,11/14/11,4,M,W,Y,F,N,11,9,82.61,2/1/22,10.21,H,7,7,14
7,4817,20,35,66,0.121,64.4,69.2,74,68.13,6/8/12,4,M,X,N,F,N,33,23,75.82,2/2/22,9.65,X,NA,N,0
8,4821,29,33,77,-0.288,60.6,65.1,69.6,34.78,5/18/12,4,M,W,Y,F,N,,,,2/1/22,9.7,H,NA,N,0
4,4841,11,12,33,-0.56,55.3,62.4,69.5,37.5,5/15/12,4,F,W,N,X,N,,,,2/8/22,9.73,W,NA,N,0
7,4881,48,23,68,-0.671,56.3,61.3,66.3,7.69,6/7/12,4,F,W,N,F,N,,,,2/9/22,9.67,W,NA,N,0
7,4929,13,38,66,0.305,66.2,71,75.9,84.62,11/18/11,4,F,W,N,X,N,10,10,90.11,2/2/22,10.21,W,8,7,15
7,4971,31,31,65,-0.092,62.2,67.1,71.9,39.56,10/28/11,4,F,W,N,X,N,,,,2/17/22,10.3,W,NA,N,0
11,4981,9,27,43,0.523,67,73.2,79.4,86.21,5/12/12,4,F,W,N,F,Y,,,,1/14/22,9.67,W,NA,7,7
11,5014,26,24,50,-0.08,61.7,67.2,72.7,44.83,9/22/11,4,F,W,Y,F,Y,16,14,77.59,1/25/22,10.34,H,7,N,7
7,5049,25,34,67,0.03,63.5,68.3,73.1,52.75,11/14/11,4,M,W,N,X,N,30,20,79.12,2/7/22,10.23,W,7,N,7
4,5074,9,19,36,0.111,62.6,69.1,75.7,50,5/10/12,4,M,W,Y,X,N,,,,2/8/22,9.74,H,NA,N,0
10,5076,30,16,52,-0.811,54,59.9,65.8,16.22,11/2/11,4,F,W,Y,F,N,,,,3/1/22,10.33,H,NA,N,0
7,5103,8,43,65,0.67,69.6,74.7,79.8,91.21,1/10/12,4,F,W,N,X,N,,,,1/31/22,10.06,W,NA,8,8
7,5154,12,40,68,0.357,66.7,71.6,76.4,85.71,5/25/12,4,F,W,N,F,N,11,11,89.01,2/7/22,9.7,W,7,7,14
7,5167,47,24,65,-0.536,57.6,62.6,67.7,9.89,11/22/11,4,F,W,N,X,N,,,,2/7/22,10.21,W,NA,N,0
7,5168,14,37,66,0.244,65.6,70.4,75.3,81.32,8/14/11,4,M,W,N,X,N,,,,2/7/22,10.48,W,NA,7,7
9,5208,26,24,52,-0.154,61,66.5,71.9,32.76,2/15/11,4,M,W,Y,F,Y,,,,2/1/22,10.96,H,NA,N,0
8,5216,16,51,91,0.243,66.3,70.4,74.6,65.22,8/22/12,4,F,W,Y,F,Y,13,11,78.26,2/1/22,9.44,H,7,N,7
10,5243,31,15,49,-0.818,53.7,59.8,65.9,13.51,5/7/12,4,M,W,Y,F,N,,,,3/1/22,9.82,H,NA,N,0
