Set,Person ID Code,Rank,Wins,Comps,Logit,Low 95% CI,Score,High 95% CI,Percentile CDAT,DOB,Grade,Gender,Race,Hispanic,Lunch,EL,Ranking Observation,Obs Rank,Percentile Obs,Date CDAT Completed,Age,Race/Ethnicity,Stanine Obs,Stanine CDAT,Recognition
11,5259,47,9,40,-1.237,48.2,55.6,63.1,6.9,11/9/11,4,M,W,Y,F,Y,,,,1/25/22,10.21,H,NA,N,0
11,5261,11,28,46,0.442,66.5,72.4,78.3,82.76,1/17/12,4,F,W,Y,F,Y,11,10,84.48,1/27/22,10.03,H,7,7,14
7,5284,43,27,66,-0.368,59.4,64.3,69.2,15.38,11/14/11,4,M,W,N,X,N,29,19,80.22,2/2/22,10.22,W,7,N,7
6,5287,3,27,33,1.504,74.2,83,91.9,93.1,12/8/11,4,F,W,Y,F,Y,3,3,93.1,2/1/22,10.15,H,8,8,16
7,5331,38,30,67,-0.21,61.1,65.9,70.7,26.37,6/22/12,4,M,W,N,X,N,,,,2/7/22,9.63,W,NA,N,0
8,5347,22,49,98,0,64,68,72,50,5/14/12,4,F,W,Y,F,Y,,,,2/1/22,9.71,H,NA,N,0
9,5361,8,34,53,0.582,68.2,73.8,79.4,84.48,10/4/11,4,M,W,Y,F,Y,,,,2/1/22,10.33,H,NA,7,7
7,5381,22,34,65,0.092,64.1,68.9,73.8,61.54,12/21/11,4,M,W,N,X,N,,,,1/31/22,10.11,W,NA,N,0
7,5438,32,31,66,-0.121,62,66.8,71.6,38.46,6/8/12,4,M,X,N,F,N,25,16,83.52,2/7/22,9.66,X,7,N,7
4,5495,13,5,25,-1.386,44.3,54.1,63.9,18.75,9/30/11,4,M,N,Y,X,N,,,,2/8/22,10.36,N,NA,N,0
7,5501,7,44,66,0.693,69.8,74.9,80,93.41,11/19/11,4,F,W,N,X,N,,,,2/17/22,10.24,W,NA,8,8
7,5531,23,34,66,0.061,63.8,68.6,73.4,60.44,6/19/12,4,F,X,N,F,N,23,14,85.71,2/7/22,9.63,X,7,N,7
11,5555,16,25,44,0.274,64.8,70.7,76.7,74.14,8/24/12,4,F,W,Y,F,Y,,,,1/27/22,9.43,H,NA,N,0
9,5586,18,27,52,0.077,63.3,68.8,74.2,62.07,4/25/12,4,M,W,Y,F,Y,,,,2/1/22,9.77,H,NA,N,0
8,5590,31,35,84,-0.336,60.3,64.6,69,28.26,6/10/11,4,M,W,Y,F,Y,,,,2/1/22,10.64,H,NA,N,0
8,5597,30,37,88,-0.321,60.6,64.8,69,32.61,6/18/12,4,M,W,Y,F,N,,,,2/1/22,9.62,H,NA,N,0
11,5631,41,19,47,-0.388,58.3,64.1,69.9,18.97,4/10/12,4,F,W,Y,F,Y,14,12,81.03,1/27/22,9.8,H,7,N,7
4,5710,15,3,22,-1.846,37.4,49.5,61.7,6.25,5/23/12,4,F,N,N,X,N,,,,2/8/22,9.71,N,NA,N,0
10,5714,29,19,60,-0.769,54.9,60.3,65.7,18.92,7/26/12,4,M,W,Y,F,N,,,,3/1/22,9.6,H,NA,N,0
8,5749,12,46,77,0.395,67.4,72,76.5,76.09,3/18/12,4,F,W,Y,F,Y,10,8,84.78,2/1/22,9.87,H,7,N,7
8,5773,21,37,73,0.027,63.7,68.3,72.9,52.17,9/19/11,4,M,W,Y,F,Y,,,,2/1/22,10.37,H,NA,N,0
7,5780,30,32,67,-0.09,62.3,67.1,71.9,40.66,6/23/12,4,F,W,N,X,N,,,,2/2/22,9.61,W,NA,N,0
10,5789,2,33,40,1.55,75.3,83.5,91.7,97.3,1/13/12,4,N,W,N,F,N,8,8,81.08,3/1/22,10.13,W,7,9,16
11,5812,33,21,46,-0.174,60.5,66.3,72.1,32.76,1/11/12,4,M,W,Y,F,Y,,,,1/25/22,10.04,H,NA,N,0
6,5841,20,22,51,-0.276,59.7,65.2,70.8,34.48,6/22/12,4,F,W,Y,F,N,,,,2/1/22,9.61,H,NA,N,0
9,5844,6,35,54,0.611,68.5,74.1,79.7,87.93,9/12/11,4,F,W,Y,F,Y,,,,2/1/22,10.39,H,NA,7,7
7,5846,16,37,67,0.21,65.3,70.1,74.9,79.12,12/18/11,4,F,W,N,X,N,,,,2/17/22,10.16,W,NA,7,7
9,6024,24,24,51,-0.118,61.3,66.8,72.3,39.66,8/28/12,4,F,W,Y,F,Y,,,,2/1/22,9.43,H,NA,N,0
10,6028,10,38,64,0.379,66.8,71.8,76.8,75.68,10/12/11,4,F,W,N,F,N,,,,3/1/22,10.39,W,NA,N,0
10,6057,9,36,59,0.448,67.2,72.5,77.7,78.38,10/1/11,4,F,W,Y,F,N,,,,3/1/22,10.42,H,NA,7,7
9,6077,36,14,50,-0.944,52.4,58.6,64.7,8.62,7/2/12,4,F,W,Y,F,N,,,,2/1/22,9.58,H,NA,N,0
7,6133,42,27,65,-0.342,59.6,64.6,69.5,17.58,3/13/12,4,M,W,N,X,N,,,,2/7/22,9.9,W,NA,N,0
7,6147,41,28,67,-0.331,59.8,64.7,69.5,18.68,11/16/11,4,F,X,Y,F,N,,,,2/17/22,10.25,X,NA,N,0
6,6152,12,32,61,0.098,64,69,74,62.07,9/2/11,4,F,P,Y,F,N,,,,2/1/22,10.41,P,NA,N,0
6,6218,18,27,61,-0.231,60.6,65.7,70.7,41.38,7/21/12,4,M,W,Y,F,N,,,,2/1/22,9.53,H,NA,N,0
12,6240,1,24,28,1.792,75.3,85.9,96.5,100,3/15/12,4,M,X,N,F,N,8,8,68.18,1/28/22,9.87,X,NA,9,9
9,6273,1,43,51,1.682,77.3,84.8,92.4,100,2/6/11,4,M,W,Y,F,Y,7,7,89.66,2/1/22,10.99,H,7,9,16
7,6275,5,47,65,0.96,72.2,77.6,83,95.6,4/5/12,4,F,W,N,X,N,22,13,86.81,2/7/22,9.84,W,7,8,15
7,6283,42,27,65,-0.342,59.6,64.6,69.5,17.58,5/11/12,4,F,W,N,X,N,,,,2/17/22,9.77,W,NA,N,0
7,6296,1,59,64,2.468,83.6,92.7,101.8,100,5/16/11,4,M,W,N,F,N,32,22,76.92,2/7/22,10.73,W,NA,9,9
9,6316,18,28,54,0.074,63.4,68.7,74.1,62.07,3/3/12,4,M,W,Y,F,N,4,4,94.83,2/1/22,9.91,H,8,N,8
7,6324,11,40,66,0.431,67.4,72.3,77.2,86.81,1/25/12,4,M,W,N,F,N,,,,2/2/22,10.02,W,NA,7,7
7,6397,39,29,66,-0.244,60.7,65.6,70.4,23.08,8/2/11,4,M,W,N,X,Y,2,2,98.9,1/31/22,10.5,W,9,N,9
11,6404,50,3,41,-2.539,30.9,42.6,54.4,1.72,3/7/12,4,M,W,Y,F,N,,,,1/14/22,9.85,H,NA,N,0
8,6464,8,49,76,0.596,69.3,74,78.7,84.78,12/10/11,4,M,W,Y,F,Y,,,,2/1/22,10.14,H,NA,7,7
7,6465,43,27,66,-0.368,59.4,64.3,69.2,15.38,2/27/12,4,M,W,N,X,N,,,,2/7/22,9.94,W,NA,N,0
8,6471,1,50,50,None,None,None,None,100,11/29/11,4,F,W,Y,F,Y,1,1,100,2/1/22,10.17,H,9,9,18
9,6578,26,24,52,-0.154,61,66.5,71.9,32.76,11/28/11,4,F,W,Y,F,N,,,,2/1/22,10.18,H,NA,N,0
6,6580,16,30,59,0.034,63.2,68.3,73.4,48.28,6/21/12,4,F,W,N,F,N,9,8,75.86,2/1/22,9.61,W,NA,N,0
10,6633,34,10,44,-1.224,48.7,55.8,62.8,5.41,12/2/11,4,M,N,N,F,N,,,,3/1/22,10.25,N,NA,N,0
9,6636,22,25,52,-0.077,61.8,67.2,72.7,50,6/29/12,4,F,W,Y,F,Y,,,,2/1/22,9.59,H,NA,N,0
7,6654,47,24,65,-0.536,57.6,62.6,67.7,9.89,10/26/11,4,M,W,N,X,N,,,,2/2/22,10.27,W,NA,N,0
7,6734,20,35,66,0.121,64.4,69.2,74,68.13,9/16/12,4,F,W,N,X,N,3,3,97.8,2/2/22,9.38,W,9,N,9
11,6749,20,22,43,0.046,62.5,68.5,74.4,65.52,11/22/11,4,F,W,Y,F,Y,,,,1/27/22,10.18,H,NA,N,0
6,6755,13,28,54,0.074,63.4,68.7,74.1,58.62,3/1/12,4,F,P,Y,F,Y,,,,2/1/22,9.92,P,NA,N,0
6,6786,14,31,60,0.067,63.6,68.7,73.7,55.17,6/20/12,4,M,W,Y,F,N,,,,2/1/22,9.61,H,NA,N,0
9,6795,39,7,50,-1.815,41.9,49.8,57.8,3.45,1/14/12,4,M,W,Y,F,N,,,,2/1/22,10.05,H,NA,N,0
7,6868,18,36,67,0.149,64.7,69.5,74.3,72.53,11/3/11,4,F,W,N,X,N,,,,2/7/22,10.26,W,NA,N,0
12,6886,21,2,26,-2.485,28.7,43.2,57.6,4.55,10/4/11,4,M,W,N,X,N,,,,1/28/22,10.32,W,NA,N,0
8,6951,15,51,87,0.348,67.2,71.5,75.7,67.39,6/30/12,4,M,W,Y,F,N,,,,2/1/22,9.59,H,NA,N,0
12,6962,3,23,35,0.651,67.5,74.5,81.5,86.36,4/29/12,4,M,W,N,X,N,,,,1/28/22,9.75,W,NA,7,7
7,6965,23,34,66,0.061,63.8,68.6,73.4,60.44,6/6/12,4,F,W,N,X,N,12,12,87.91,1/31/22,9.65,W,7,N,7
10,6974,12,42,75,0.241,65.9,70.4,75,64.86,12/5/11,4,F,W,Y,F,N,,,,3/1/22,10.24,H,NA,N,0
11,6998,23,24,48,0,62.3,68,73.7,55.17,5/12/12,4,M,W,N,F,Y,,,,1/14/22,9.67,W,NA,N,0
9,7035,4,35,52,0.722,69.4,75.2,81,93.1,5/26/12,4,F,W,N,F,N,3,3,96.55,2/1/22,9.68,W,9,8,17
7,7041,38,30,67,-0.21,61.1,65.9,70.7,26.37,7/19/12,4,M,W,N,X,N,,,,1/31/22,9.53,W,NA,N,0
6,7076,22,22,57,-0.464,58,63.4,68.7,27.59,10/6/11,4,M,W,Y,F,Y,,,,2/1/22,10.32,H,NA,N,0
9,7088,22,25,52,-0.077,61.8,67.2,72.7,50,10/15/11,4,M,W,Y,F,Y,,,,2/1/22,10.29,H,NA,N,0
11,7103,21,24,47,0.043,62.7,68.4,74.1,63.79,3/14/11,4,F,W,Y,F,Y,,,,1/27/22,10.87,H,NA,N,0
9,7139,28,23,51,-0.197,60.5,66,71.5,22.41,10/12/11,4,M,W,Y,F,N,,,,2/1/22,10.3,H,NA,N,0
10,7188,26,23,58,-0.42,58.5,63.8,69.1,27.03,10/8/11,4,M,W,Y,F,N,,,,3/1/22,10.4,H,NA,N,0
12,7196,9,22,40,0.201,63.8,70,76.2,59.09,9/23/11,4,F,X,N,X,N,3,3,90.91,1/28/22,10.35,X,8,N,8
7,7198,18,36,67,0.149,64.7,69.5,74.3,72.53,6/29/12,4,M,W,N,X,N,,,,2/2/22,9.59,W,NA,N,0
11,7223,3,35,40,1.946,78.1,87.5,96.8,96.55,3/29/12,4,F,W,Y,F,Y,12,11,82.76,1/25/22,9.82,H,7,9,16
7,7281,32,31,66,-0.121,62,66.8,71.6,38.46,8/22/11,4,M,W,N,X,N,27,17,82.42,2/2/22,10.44,W,7,N,7
11,7296,37,20,46,-0.262,59.6,65.4,71.2,25.86,3/10/12,4,M,W,Y,F,Y,,,,1/27/22,9.88,H,NA,N,0
12,7353,4,20,31,0.598,66.6,74,81.3,81.82,11/21/12,4,F,W,N,X,N,5,5,81.82,1/28/22,9.19,W,7,7,14
9,7401,9,33,52,0.552,67.9,73.5,79.2,81.03,12/2/11,4,F,W,Y,F,Y,15,15,75.86,2/1/22,10.16,H,NA,7,7
7,7447,36,30,66,-0.182,61.3,66.2,71,32.97,3/25/12,4,F,W,N,X,N,,,,2/7/22,9.87,W,NA,N,0
9,7453,33,19,52,-0.552,56.8,62.5,68.1,13.79,4/6/12,4,M,W,Y,F,N,11,11,82.76,2/1/22,9.82,H,7,N,7
7,7462,23,34,66,0.061,63.8,68.6,73.4,60.44,8/18/11,4,F,W,N,X,N,,,,2/17/22,10.5,W,NA,N,0
11,7509,10,28,45,0.499,67,73,79,84.48,4/7/12,4,F,W,Y,F,Y,2,2,98.28,1/14/22,9.77,H,9,7,16
8,7575,30,34,81,-0.324,60.3,64.8,69.2,32.61,5/4/12,4,M,W,Y,F,Y,,,,2/1/22,9.74,H,NA,N,0
7,7591,36,30,66,-0.182,61.3,66.2,71,32.97,3/7/12,4,F,W,N,X,N,7,7,93.41,1/31/22,9.9,W,8,N,8
9,7643,38,12,52,-1.204,49.5,56,62.4,5.17,7/30/12,4,F,W,Y,F,Y,4,4,94.83,2/1/22,9.5,H,8,N,8
11,7655,38,19,44,-0.274,59.3,65.3,71.2,24.14,9/8/11,4,M,W,Y,F,Y,,,,1/25/22,10.38,H,NA,N,0
9,7659,25,25,54,-0.148,61.2,66.5,71.9,34.48,11/18/11,4,M,W,Y,F,N,5,5,93.1,2/1/22,10.2,H,8,N,8
9,7664,40,6,49,-1.969,39.8,48.3,56.9,1.72,2/20/12,4,F,W,Y,F,Y,,,,2/1/22,9.95,H,NA,N,0
8,7665,41,13,56,-1.196,49.8,56,62.2,6.52,4/20/12,4,M,W,Y,F,Y,,,,2/1/22,9.78,H,NA,N,0
6,7670,25,14,46,-0.827,53.4,59.7,66,17.24,12/7/10,4,M,W,Y,F,Y,,,,2/1/22,11.15,H,NA,N,0
9,7674,21,26,52,0,62.6,68,73.4,53.45,9/28/11,4,F,W,Y,F,Y,2,2,98.28,2/1/22,10.34,H,9,N,9
7,7706,37,31,69,-0.204,61.2,66,70.7,27.47,1/10/12,4,F,W,N,F,N,,,,2/17/22,10.1,W,NA,N,0
11,7781,35,20,45,-0.223,59.9,65.8,71.6,29.31,1/27/12,4,M,W,Y,F,Y,17,15,75.86,1/25/22,9.99,H,NA,N,0
11,7840,48,7,42,-1.609,43.8,51.9,60,5.17,11/26/11,4,M,W,Y,F,N,4,4,94.83,1/14/22,10.13,H,8,N,8
9,7914,22,25,52,-0.077,61.8,67.2,72.7,50,7/18/12,4,M,W,Y,F,N,,,,2/1/22,9.54,H,NA,N,0
7,7917,20,35,66,0.121,64.4,69.2,74,68.13,7/12/12,4,F,W,N,X,N,31,21,78.02,2/7/22,9.57,W,7,N,7
9,7984,22,25,52,-0.077,61.8,67.2,72.7,50,10/31/11,4,M,W,Y,F,N,,,,2/1/22,10.25,H,NA,N,0
9,7999,34,18,53,-0.665,55.7,61.4,67,12.07,12/19/11,4,M,N,N,F,N,,,,2/1/22,10.12,N,NA,N,0
10,8026,13,40,72,0.223,65.6,70.2,74.9,62.16,6/1/11,4,M,W,Y,F,N,,,,3/1/22,10.75,H,NA,N,0
10,8088,7,32,49,0.632,68.4,74.3,80.2,83.78,5/13/12,4,M,W,Y,F,N,10,10,75.68,3/1/22,9.8,H,NA,7,7
12,8096,17,12,33,-0.56,55.3,62.4,69.5,22.73,8/14/11,4,M,W,N,X,N,,,,1/28/22,10.46,W,NA,N,0
7,8112,36,30,66,-0.182,61.3,66.2,71,32.97,4/28/12,4,M,W,N,X,N,,,,2/2/22,9.76,W,NA,N,0
11,8205,21,24,47,0.043,62.7,68.4,74.1,63.79,6/6/12,4,F,W,Y,F,Y,,,,1/14/22,9.61,H,NA,N,0
11,8206,24,24,49,-0.041,62,67.6,73.2,51.72,8/30/12,4,F,W,Y,F,N,,,,1/14/22,9.37,H,NA,N,0
7,8213,36,30,66,-0.182,61.3,66.2,71,32.97,11/15/11,4,F,W,N,F,N,,,,2/2/22,10.21,W,NA,N,0
4,8294,8,19,34,0.236,63.6,70.4,77.1,56.25,12/21/11,4,F,N,N,X,Y,,,,2/8/22,10.13,N,NA,N,0
8,8312,17,44,81,0.173,65.4,69.7,74.1,63.04,8/10/12,4,M,A,N,F,N,8,6,89.13,2/1/22,9.48,A,7,N,7
7,8397,23,34,66,0.061,63.8,68.6,73.4,60.44,10/31/11,4,F,W,N,X,N,,,,2/7/22,10.27,W,NA,N,0
8,8438,7,55,85,0.606,69.6,74.1,78.5,86.96,10/13/11,4,F,W,Y,F,Y,9,7,86.96,2/1/22,10.3,H,7,7,14
12,8476,6,23,39,0.363,65.2,71.6,78,72.73,11/21/12,4,F,W,N,X,N,4,4,86.36,1/28/22,9.19,W,7,N,7
6,8478,10,32,58,0.208,64.9,70.1,75.3,68.97,10/10/11,4,M,W,N,F,N,,,,2/1/22,10.31,W,NA,N,0
7,8518,46,25,65,-0.47,58.3,63.3,68.3,10.99,3/28/12,4,M,W,N,F,N,,,,1/31/22,9.84,W,NA,N,0
7,8585,27,34,69,-0.029,63,67.7,72.4,48.35,5/2/11,4,M,X,Y,X,N,,,,2/7/22,10.76,X,NA,N,0
7,8613,2,56,63,2.079,80.9,88.8,96.6,98.9,9/28/11,4,M,W,N,X,N,,,,2/17/22,10.39,W,NA,9,9
7,8672,17,36,66,0.182,65,69.8,74.7,78.02,1/23/12,4,M,W,N,X,N,1,1,100,1/31/22,10.02,W,9,7,16
9,8742,2,38,51,1.073,72.4,78.7,85,98.28,2/10/12,4,F,W,Y,F,N,,,,2/1/22,9.98,H,NA,9,9
6,8772,4,34,48,0.887,70.6,76.9,83.1,89.66,12/19/11,4,F,W,Y,F,N,10,9,72.41,2/1/22,10.12,H,NA,7,7
11,8778,40,20,47,-0.3,59.2,65,70.8,20.69,11/7/11,4,M,W,Y,F,Y,9,8,87.93,1/14/22,10.19,H,7,N,7
9,8823,18,28,54,0.074,63.4,68.7,74.1,62.07,8/5/12,4,F,W,Y,F,Y,,,,2/1/22,9.49,H,NA,N,0
7,8828,20,35,66,0.121,64.4,69.2,74,68.13,1/21/12,4,M,W,N,X,N,,,,2/2/22,10.03,W,NA,N,0
10,8850,11,39,68,0.296,66.2,71,75.8,72.97,9/28/11,4,M,B,N,F,N,11,11,72.97,3/1/22,10.43,B,NA,N,0
6,8877,5,28,43,0.624,68,74.2,80.5,86.21,12/22/11,4,F,W,Y,F,Y,,,,2/1/22,10.11,H,NA,7,7
12,8878,10,20,39,0.051,62.2,68.5,74.8,54.55,11/24/11,4,F,W,N,X,N,,,,1/28/22,10.18,W,NA,N,0
6,8934,15,33,64,0.062,63.7,68.6,73.5,51.72,8/28/11,4,M,N,N,F,N,,,,2/1/22,10.43,N,NA,N,0
11,8936,43,16,41,-0.446,57.3,63.5,69.8,15.52,3/30/12,4,M,W,Y,F,Y,,,,1/25/22,9.82,H,NA,N,0
4,8980,2,19,26,0.998,69.3,78,86.6,93.75,3/31/12,4,F,W,Y,X,N,,,,2/8/22,9.86,H,NA,8,8
6,8988,8,32,51,0.521,67.5,73.2,78.9,75.86,6/18/12,4,F,W,Y,F,Y,2,2,96.55,2/1/22,9.62,H,9,N,9
7,9007,13,38,66,0.305,66.2,71,75.9,84.62,7/29/12,4,F,W,N,X,N,,,,2/2/22,9.51,W,NA,7,7
9,9023,11,29,52,0.232,64.8,70.3,75.8,77.59,7/13/12,4,M,W,N,F,N,18,18,70.69,2/1/22,9.55,W,NA,7,7
9,9035,14,28,52,0.154,64.1,69.5,75,72.41,3/26/12,4,M,W,Y,F,N,,,,2/1/22,9.85,H,NA,N,0
8,9046,37,22,70,-0.78,55.2,60.2,65.2,15.22,1/16/12,4,M,W,Y,F,Y,,,,2/1/22,10.04,H,NA,N,0
7,9081,40,29,69,-0.322,60,64.8,69.6,19.78,3/24/12,4,M,W,N,X,N,,,,1/31/22,9.85,W,NA,N,0
8,9100,13,50,85,0.357,67.3,71.6,75.9,73.91,11/12/11,4,F,W,Y,F,Y,15,13,73.91,2/1/22,10.22,H,NA,N,0
9,9110,20,27,53,0.038,63,68.4,73.8,55.17,7/23/11,4,M,W,Y,F,Y,16,16,74.14,2/1/22,10.52,H,NA,N,0
11,9158,6,28,41,0.767,69.1,75.7,82.2,91.38,3/16/12,4,F,W,Y,F,Y,,,,1/14/22,9.83,H,NA,8,8
7,9172,34,31,67,-0.15,61.7,66.5,71.3,35.16,12/26/11,4,M,X,N,X,N,,,,2/7/22,10.11,X,NA,N,0
7,9185,17,36,66,0.182,65,69.8,74.7,78.02,6/9/11,4,M,W,N,X,N,9,9,91.21,2/2/22,10.65,W,8,7,15
12,9201,18,9,28,-0.747,52.6,60.5,68.5,18.18,2/7/12,4,M,W,N,X,N,10,10,59.09,1/28/22,9.98,W,NA,N,0
11,9220,28,24,51,-0.118,61.3,66.8,72.3,41.38,7/26/12,4,M,W,Y,F,Y,,,,1/14/22,9.47,H,NA,N,0
6,9229,9,33,58,0.278,65.6,70.8,76,72.41,7/24/12,4,F,P,Y,F,N,5,5,86.21,2/1/22,9.52,P,7,N,7
12,9230,14,14,36,-0.452,56.8,63.5,70.2,36.36,10/6/11,4,M,W,N,F,N,,,,1/28/22,10.31,W,NA,N,0
9,9252,14,28,52,0.154,64.1,69.5,75,72.41,12/5/11,4,F,W,Y,F,N,10,10,84.48,2/1/22,10.16,H,7,N,7
10,9288,32,15,50,-0.847,53.5,59.5,65.6,10.81,4/12/12,4,M,W,Y,F,N,,,,3/1/22,9.89,H,NA,N,0
8,9308,25,19,41,-0.147,60.4,66.5,72.7,43.48,2/15/12,4,F,W,Y,F,Y,6,,,2/1/22,9.96,H,NA,N,0
10,9389,5,36,54,0.693,69.3,74.9,80.6,89.19,1/6/12,4,M,N,N,F,N,1,1,100,3/1/22,10.15,N,9,7,16
6,9411,26,12,41,-0.882,52.5,59.2,65.9,13.79,7/6/11,4,M,W,Y,F,Y,,,,2/1/22,10.57,H,NA,N,0
12,9413,11,21,43,-0.047,61.6,67.5,73.5,50,1/26/12,4,F,W,N,R,N,2,2,95.45,1/28/22,10.01,W,8,N,8
11,9439,31,24,52,-0.154,61,66.5,71.9,36.21,6/25/12,4,F,W,Y,F,N,20,18,70.69,1/14/22,9.55,H,NA,N,0
9,9453,12,28,51,0.197,64.5,70,75.5,75.86,3/18/12,4,M,W,Y,F,Y,13,13,79.31,2/1/22,9.87,H,7,N,7
12,9485,5,23,36,0.57,66.9,73.7,80.5,77.27,10/12/11,4,F,W,N,X,N,,,,1/28/22,10.29,W,NA,7,7
12,9492,7,24,41,0.345,65.2,71.4,77.7,68.18,6/17/12,4,F,W,N,F,N,,,,1/28/22,9.61,W,NA,N,0
7,9547,3,48,64,1.099,73.3,79,84.6,97.8,7/16/12,4,M,W,N,X,N,24,15,84.62,2/7/22,9.56,W,7,9,16
7,9558,21,37,70,0.114,64.4,69.1,73.8,62.64,9/19/11,4,F,X,Y,X,N,,,,2/9/22,10.39,X,NA,N,0
8,9590,18,48,92,0.087,64.8,68.9,73,60.87,8/22/12,4,F,W,Y,F,N,,,,2/1/22,9.44,H,NA,N,0
7,9594,51,13,63,-1.347,48.4,54.5,60.6,4.4,11/11/11,4,M,W,N,X,N,,,,1/31/22,10.22,W,NA,N,0
8,9598,6,50,77,0.616,69.5,74.2,78.8,89.13,8/22/11,4,F,W,Y,F,Y,,,,2/1/22,10.44,H,NA,7,7
9,9605,23,25,53,-0.113,61.5,66.9,72.3,41.38,8/5/12,4,M,W,Y,F,Y,,,,2/1/22,9.49,H,NA,N,0
9,9610,29,23,52,-0.232,60.2,65.7,71.2,20.69,8/27/12,4,M,W,Y,F,N,,,,2/1/22,9.43,H,NA,N,0
10,9620,22,28,63,-0.223,60.8,65.8,70.7,37.84,3/20/12,4,M,W,Y,F,Y,,,,3/1/22,9.95,H,NA,N,0
7,9670,6,44,65,0.74,70.2,75.4,80.6,94.51,1/12/12,4,M,X,Y,X,N,,,,2/7/22,10.07,X,NA,8,8
6,9713,6,34,53,0.582,68.2,73.8,79.4,82.76,1/30/12,4,F,W,Y,F,N,,,,2/1/22,10,H,NA,7,7
8,9740,28,37,86,-0.281,60.9,65.2,69.5,36.96,9/26/11,4,M,W,Y,F,Y,,,,2/1/22,10.35,H,NA,N,0
11,9745,36,22,50,-0.241,60,65.6,71.2,27.59,5/22/12,4,F,W,Y,F,N,,,,1/27/22,9.68,H,NA,N,0
12,9756,20,3,24,-1.946,36.4,48.5,60.6,9.09,2/16/12,4,M,W,N,X,N,,,,1/28/22,9.95,W,NA,N,0
6,9778,24,19,51,-0.521,57.1,62.8,68.5,20.69,4/22/12,4,F,W,Y,F,N,,,,2/1/22,9.78,H,NA,N,0
11,9797,34,24,53,-0.189,60.7,66.1,71.5,31.03,5/3/12,4,M,W,Y,F,Y,,,,1/25/22,9.73,H,NA,N,0
9,9827,24,24,51,-0.118,61.3,66.8,72.3,39.66,1/7/12,4,M,W,Y,F,Y,,,,2/1/22,10.07,H,NA,N,0
7,9829,50,20,69,-0.896,53.8,59,64.2,5.49,4/21/11,4,M,B,N,F,N,,,,2/17/22,10.82,B,NA,N,0
12,9839,19,8,30,-1.012,49.8,57.9,6600.00%,13.64,7/6/12,4,M,W,N,X,N,,,,1/28/22,9.56,W,NA,N,0
6,9847,29,0,33,None,None,None,None,3.45,9/28/11,4,M,W,Y,F,N,,,,2/1/22,10.34,H,NA,N,0
11,9859,25,23,47,-0.043,61.9,67.6,73.3,46.55,6/17/10,4,M,W,Y,F,Y,,,,1/25/22,11.61,H,NA,N,0
4,9899,3,19,28,0.747,67.5,75.5,83.4,87.5,7/28/12,4,F,N,N,X,Y,,,,2/8/22,9.53,N,NA,7,7
8,9913,36,25,73,-0.652,56.6,61.5,66.3,17.39,7/14/12,4,M,W,Y,F,N,,,,2/1/22,9.55,H,NA,N,0
11,9937,22,26,51,0.039,62.9,68.4,73.9,58.62,10/6/11,4,M,W,Y,F,Y,,,,1/25/22,10.3,H,NA,N,0
8,9953,3,41,50,1.516,75.9,83.2,90.4,95.65,5/8/12,4,F,W,Y,F,N,2,2,97.83,2/1/22,9.73,H,9,8,17
7,9997,35,31,68,-0.177,61.5,66.2,71,34.07,10/17/11,4,M,W,N,X,N,,,,1/31/22,10.29,W,NA,N,0
9,9379,24,24,51,-0.118,61.3,66.8,72.3,39.66,9/27/12,4,F,W,Y,F,Y,6,6,91.38,2/1/22,9.34,W,8,N,8